,Bathrooms,CarpetArea,Floor,Possession On,price,title
0,5,2583sq.ft,GroundFloor,Jun'20,1.90Cr,4BHK Villa for Sale in Bopal
1,4,2068sq.ft,4,Sep'19,1.97Cr,Semi Furnished 4BHK Apartment for Sale in Thaltej
2,3,1842sq.ft,GroundFloor,Nov'19,98.50L,3BHK Apartment for Sale in Chandkheda
3,3,800sq.ft,10,Jul'19,48L,3BHK Apartment for Sale in Shela
4,3,750sq.ft,10,Dec'20,41.25L,3BHK Apartment for Sale in South Bopal
5,3,1245sq.ft,6,Apr'19,69.25L,3BHK Apartment for Sale in S G Highway
6,2,872sq.ft,15,Jun'22,63L,2BHK Apartment for Sale in Jagatpur
7,2,608sq.ft,5,ReadyToMove,32L,2BHK BuilderFloor for Sale in S G Highway
8,3,1110sq.ft,2,ReadyToMove,1.35Cr,Fully Furnished 3BHK Apartment for Sale in Thaltej
9,3,1050sq.ft,4,ReadyToMove,1.15Cr,Fully Furnished 3BHK Apartment for Sale in Prahlad Nagar
10,3,1650sq.ft,4,ReadyToMove,1.15Cr,Semi Furnished 3BHK Apartment for Sale in Bodakdev
11,2,925sq.ft,6,Apr'19,50.22L,3BHK Apartment for Sale in S G Highway
12,3,1500sq.ft,1,ReadyToMove,1.70Cr,Fully Furnished 3BHK Apartment for Sale in Thaltej Road
13,1,472sq.ft,4,ReadyToMove,20L,1BHK BuilderFloor for Sale in S G Highway
14,3,1189sq.ft,12,Mar'19,68.91L,3BHK Apartment for Sale in S G Highway
15,2,633sq.ft,17,Jun'22,44.99L,2BHK Apartment for Sale in Jagatpur
16,3,918sq.ft,5,ReadyToMove,78L,Fully Furnished 3BHK Apartment for Sale in S G Highway
17,2,696sq.ft,10,Dec'20,36L,2BHK Apartment for Sale in South Bopal
18,2,660sq.ft,2,ReadyToMove,38L,Semi Furnished 2BHK Apartment for Sale in Chandkheda
19,3,1332sq.ft,4,ReadyToMove,1.13Cr,3BHK Apartment for Sale in Vastrapur
20,2,1000sq.ft,2,ReadyToMove,32.51L,2BHK Apartment for Sale in Chandkheda
21,2,850sq.ft,4,Apr'19,54.25L,Fully Furnished 2BHK Apartment for Sale in S G Highway
22,2,705sq.ft,5,Dec'20,37.60L,2BHK Apartment for Sale in Bopal
23,4,2100sq.ft,GroundFloor,ReadyToMove,3.60Cr,4BHK Apartment for Sale in Bodakdev
24,2,756sq.ft,1,Apr'19,34L,Semi Furnished 2BHK Apartment for Sale in Ghuma
25,2,933sq.ft,GroundFloor,ReadyToMove,59L,Fully Furnished 2BHK Villa for Sale in Gurukul
26,4,1920sq.ft,GroundFloor,ReadyToMove,1.62Cr,4BHK Apartment for Sale in Vastrapur
27,3,1293sq.ft,5,Dec'20,1.07Cr,3BHK Apartment for Sale in Vastrapur
28,2,558sq.ft,8,ReadyToMove,65L,2BHK Apartment for Sale in S G Highway
29,3,882sq.ft,10,Mar'19,55.65L,3BHK Apartment for Sale in S G Highway
